kod,ana_grup,seviye,ust_kod,ad,saklama_suresi,kapsam,kurum_tipi,vatandas_konusu,ornek_konular,sikayet_cumleleri
301,301,1,,Seçme-Yerleştirme-Giriş Sınav İşlemleri,5,kuruma_ozel,universite,hayir,Ek Yerleştirme Kontenjanları|Özel Yetenek Sınavı Duyurusu|Başvuru Değerlendirme Sonuçları|Kayıt Hakkı Kazananlar Listesi|Kontenjan Boşluğu Bildirimi|Sınav Komisyonu Kurulması,
301.06,301,2,301,Yatay Geçiş,,kuruma_ozel,universite,evet,Yatay Geçiş Başvurusu|Yatay Geçiş Kontenjan Talebi|Yatay Geçiş Sonucuna İtiraz|Ders Muafiyet Talebi|Başvuru Takviminin Duyurulması|Kurum İçi Geçiş Başvurusu|Not Ortalaması Belgesi Talebi,yatay geçiş başvurum sonuç listesinde hiç yer almadı|ders muafiyet talebim değerlendirilmeden reddedildi|sonuca itirazıma yazılı cevap verilmedi
302,302,1,,Öğrenci Özlük İşleri,B,kuruma_ozel,universite,hayir,Öğrenci Dosyası Bilgi Talebi|Öğrenci Bilgilerinin Güncellenmesi|Kimlik Kartı Yenileme|Özlük Bilgisi Doğrulama Talebi|Öğrenci Listesinin Gönderilmesi|Kayıt Durumu Sorgusu,
302.01,302,2,302,Yeni Kayıt İşlemleri,10,kuruma_ozel,universite,evet,Kesin Kayıt Başvurusu|Kayıt Belgelerinin Teslimi|Kayıt Süresi Uzatım Talebi|Kayıt Randevusu Hk.|Eksik Belge Bildirimi|Elektronik Kayıt Duyurusu|Kayıt İptali Talebi,kesin kaydım yapıldığı hâlde sistemde görünmüyor|istenen belgeyi teslim ettiğim hâlde dosyam eksik gösterildi|kayıt süresi uzatma talebime cevap verilmedi
302.03,302,2,302,Katkı Payları / Öğrenim Ücretleri,10,kuruma_ozel,universite,evet,Katkı Payı İade Talebi|Öğrenim Ücreti Ödemesi Hk.|Katkı Payı Muafiyet Başvurusu|Ödeme Süresinin Uzatılması|Fazla Ödemenin İadesi|Taksitlendirme Talebi|Ücret Tarifesinin Duyurulması,fazla yatırdığım katkı payı iki dönemdir iade edilmedi|muafiyet başvurum belgeleri sunduğum hâlde reddedildi|harç borcu göründüğü için ders kaydı yapamıyorum
302.08,302,2,302,İzin İşleri,10,kuruma_ozel,universite,evet,Sağlık Sebebiyle İzin Talebi|İzin Başvurusunun Değerlendirilmesi|Kayıt Dondurma ve İzin Talebi|İzin Süresinin Uzatılması|Askerlik Sebebiyle İzin|İzin Dönüşü Kayıt Yenileme|Mazeret Belgesi Talebi,izin talebim otuz gündür sonuçlandırılmadı|sağlık raporum kabul edilmediği hâlde gerekçe bildirilmedi|izin dönüşü kaydım yenilenmediği için derslere yazılamadım
302.10,302,2,302,Belge İşlemleri,10,kuruma_ozel,universite,evet,Öğrenci Belgesi Talebi|Transkript Talebi|Askerlik Durum Belgesi Talebi|Belgenin Islak İmzalı Örneği|İngilizce Transkript Talebi|Belge Teslim Randevusu|Öğrenci Kimliği Yenileme,öğrenci belgesi talebime iki haftadır cevap verilmedi|transkriptimde geçen dönemin notları görünmüyor|askerlik belgem düzenlenmediği için işlemim gecikti
302.11,302,2,302,"Nakil, Kayıt Dondurma ve Kayıt Silme",10,kuruma_ozel,universite,evet,Kayıt Dondurma Talebi|Kendi İsteğiyle Kayıt Sildirme Talebi|Nakil İşlemi Hk.|Kayıt Dondurma Süresinin Uzatılması|İlişik Kesme Belgesi Talebi|Kayıt Yenileme Başvurusu|Dosyanın Nakil Üniversitesine Gönderilmesi,kayıt dondurma başvurum otuz gündür sonuçlandırılmadı|kayıt sildirdiğim hâlde adıma harç borcu çıkarılıyor|nakil dosyam karşı üniversiteye gönderilmedi
302.14,302,2,302,Tez İşleri,B,kuruma_ozel,universite,evet,Tez Konusu Değişikliği Talebi|Tez Savunma Jürisi Önerisi|Tez Teslim Süresi Uzatım Talebi|Danışman Değişikliği Talebi|Tez İzleme Komitesi Raporu|Tez Savunma Tarihi Bildirimi|Tez Yazım Kılavuzu Hk.,tez savunma jürim iki aydır oluşturulmadı|danışman değişikliği talebim cevapsız kaldı|tez teslim süresi uzatma talebim gerekçesiz reddedildi
302.15,302,2,302,Mezuniyet İşleri,B,kuruma_ozel,universite,evet,Geçici Mezuniyet Belgesi Talebi|Diploma Talebi|İlişik Kesme İşlemleri Hk.|Mezuniyet Töreni Duyurusu|Diploma Eki Talebi|Mezuniyet Tarihinin Düzeltilmesi|Diploma Teslim Randevusu,diplomam mezun olalı altı ay geçmesine rağmen düzenlenmedi|geçici mezuniyet belgem iş başvuru süresi içinde verilmedi|diploma ekimi İngilizce istediğim hâlde Türkçe düzenlendi
304,304,1,,"Burslar, Krediler, Stajlar",,kuruma_ozel,universite,hayir,Burs Başvurularının Değerlendirilmesi|Staj Kontenjanı Talebi|Kredi İşlemleri Hk.|Burs Kontenjanı Bildirimi|Başarı Bursu Listesi|Kısmi Zamanlı Çalışma Duyurusu,
304.03,304,2,304,Stajlar,2,kuruma_ozel,universite,evet,Zorunlu Staj Başvurusu|Staj Yeri Talebi|Staj Sigorta İşlemleri|Staj Defterinin Teslimi|Staj Komisyonu Değerlendirmesi|Staj Süresinin Sayılması Talebi|İşletmede Staj Sözleşmesi,"staj sigortam yapılmadığı için işe başlayamadım|staj defterimi teslim ettiğim hâlde değerlendirilmedi|staj yeri bulamadım, yönlendirme talebime cevap verilmedi"
309,309,1,,"Öğrenci Toplulukları, Birlikleri vb.",10,kuruma_ozel,universite,evet,Öğrenci Topluluğu Kurulma Talebi|Topluluk Etkinlik İzni Talebi|Topluluk Danışmanı Görevlendirmesi|Topluluk Tüzüğünün Onayı|Salon Tahsis Talebi|Topluluk Yönetim Kurulu Bildirimi|Etkinlik Bütçe Desteği Talebi,topluluk kurma başvurumuz bir dönemdir sonuçlandırılmadı|etkinlik izin talebimiz etkinlik tarihinden sonra cevaplandı|tahsis edilen salon aynı gün başka bir etkinliğe verildi
310,310,1,,Öğrenci Değişim Programları,B,kuruma_ozel,universite,evet,Erasmus+ Başvuru Duyurusu|Değişim Programı Ders Tanıma Talebi|Mevlana Programı Hareketliliği Hk.|Hibe Ödemesi Hk.|Öğrenim Anlaşmasının Onayı|Farabi Başvuru Sonuçları|Kabul Mektubu Talebi,değişim programı hibem dönem bitmesine rağmen ödenmedi|yurtdışında aldığım dersler transkriptime işlenmedi|başvuru sonuçları ilan edilen tarihte açıklanmadı
135,135,1,,Eğitim Kurumlarında Açılan Kurslar,,kuruma_ozel,il_mudurlugu,hayir,Kurs Açma Talebi|Kurs Programı Onayı|Kurs Kontenjanları Hk.|Kurs Öğretmeni Görevlendirmesi|Kurs Denetim Raporu|Kurs Ücreti Hk.,
135.03,135,2,135,Yaygın Eğitim Kursları,10,kuruma_ozel,il_mudurlugu,evet,Halk Eğitim Kursu Açılması Talebi|Kursa Kayıt Başvurusu|Kurs Bitirme Belgesi Talebi|Kurs Yeri Tahsisi|Usta Öğretici Görevlendirmesi|Kurs Kontenjanının Artırılması|Kurs Programı Değişikliği,kayıt olduğum kurs yeterli kursiyer yok denilerek iptal edildi|kurs bitirme belgem altı aydır düzenlenmedi|kurs saatleri duyurulandan farklı uygulanıyor
140,140,1,,Taşımalı Eğitim,10,kuruma_ozel,il_mudurlugu,evet,Taşımalı Eğitim Kapsamına Alınma Talebi|Taşıma Merkezi Okulun Belirlenmesi|Öğrenci Taşıma Güzergâhı Hk.|Taşıma Aracı Sözleşmesi|Yemek Hizmeti Bildirimi|Güzergâh Değişikliği Talebi|Taşınacak Öğrenci Listesi,çocuğum taşımalı eğitim kapsamına alınmadığı için okula üç kilometre yürüyor|taşıma aracı sabahları güzergâha hiç uğramıyor|araçta öğrenciler ayakta seyahat ediyor
160,160,1,,"Özel Eğitim, Rehberlik ve Danışma Hizmetleri",,kuruma_ozel,il_mudurlugu,hayir,Özel Eğitim Hizmetleri Hk.|Rehberlik Çalışmaları Planı|RAM İşlemleri Hk.|Özel Eğitim Öğretmeni İhtiyacı|Yıllık Rehberlik Raporu|Değerlendirme Kurulu Toplantısı,
160.01,160,2,160,Özel Eğitim Hizmetleri,,kuruma_ozel,il_mudurlugu,evet,Özel Eğitim Değerlendirme Kurulu Raporu Talebi|Destek Eğitim Odası Talebi|Özel Eğitim Sınıfı Açılması Talebi|Evde Eğitim Başvurusu|Özel Eğitim Materyali Talebi|Öğrenci Yerleştirme Kararı,
160.01.02,160,3,160.01,Kaynaştırma Eğitimi,10,kuruma_ozel,il_mudurlugu,evet,Kaynaştırma Öğrencisi Yerleştirme Talebi|BEP Hazırlanması Hk.|Kaynaştırma Uygulaması Bilgi Talebi|Destek Eğitim Odası Görevlendirmesi|BEP Toplantısı Daveti|Sınıf Mevcudunun Düzenlenmesi|Kaynaştırma Öğretmeni Talebi,çocuğum için bireyselleştirilmiş eğitim planı hazırlanmadı|destek eğitim odası açılmadığı için çocuğum sınıfta yalnız kalıyor|kaynaştırma raporuna rağmen sınıf mevcudu azaltılmadı
160.02,160,2,160,Rehberlik ve Danışma Hizmetleri,,kuruma_ozel,il_mudurlugu,evet,Rehberlik Hizmeti Talebi|RAM Randevu Talebi|Rehberlik Raporunun Gönderilmesi|Rehber Öğretmen Görevlendirmesi|Psikolojik Destek Talebi|Rehberlik Semineri Duyurusu|Yönlendirme Raporu Talebi,RAM randevusu dört ay sonrasına verildi|okulda rehber öğretmen olmadığı için çocuğum destek alamıyor|rehberlik raporum okula gönderilmedi
165,165,1,,Eğitime Yardımcı Dernek ve Kurumlar,,kuruma_ozel,il_mudurlugu,hayir,Dernek İşbirliği Talebi|Okul Aile Birliği İşlemleri Hk.|Bağış ve Yardım Bildirimi|Protokol Teklifi|Sponsorluk Başvurusu|Yardım Kampanyası İzni,
165.01,165,2,165,Okul Aile Birlikleri,10,kuruma_ozel,il_mudurlugu,evet,Okul Aile Birliği Genel Kurulu|Okul Aile Birliği Gelir Gider Bildirimi|Okul Aile Birliği Kira İşlemleri|Yönetim Kurulu Seçimi Hk.|Kantin İhalesi Duyurusu|Bağış Makbuzu Talebi|Denetim Kurulu Raporu,okul aile birliği bağışı zorunlu tutuluyor|genel kurul çağrısı velilere hiç duyurulmadı|kantin fiyatları belirlenen tarifenin üzerinde uygulanıyor
198,198,1,,"Eğitimle İlgili Defter, Dosya, Çizelge ve Belgeler",,kuruma_ozel,il_mudurlugu,hayir,Öğrenci Kütük Kayıtları Hk.|Defter ve Belge Teslimi|Belge Düzenleme İşlemleri|e-Okul Kayıt Düzeltmesi|Not Çizelgesi Talebi|Devir Teslim Listesi,
198.02,198,2,198,Mezuniyet/Ayrılma Belgeleri,,kuruma_ozel,il_mudurlugu,hayir,Mezuniyet Belgesi Düzenlenmesi|Tasdikname İşlemleri|Öğrenim Belgesi Talebi|Ayrılma Belgesinin Gönderilmesi|Belge Kayıt Numarası Sorgusu|Onaylı Örnek Düzenlenmesi,
198.02.01,198,3,198.02,Diploma,B,kuruma_ozel,il_mudurlugu,evet,Diploma İkinci Nüsha Talebi|Diploma Teslimi Talebi|Diploma Bilgilerinin Teyidi|Diploma Kayıt Numarası Sorgusu|Diploma Bilgilerindeki Hatanın Düzeltilmesi|Yurtdışı Kullanım İçin Onay Talebi|Diploma Defteri Kaydı,"diplomamın hazırlanması iki aydır gecikiyor|diplomamda adım yanlış yazılmış, düzeltme talebim sonuçlanmadı|ikinci nüsha talebime hiç cevap verilmedi"
355,355,1,,YÖK'le İlişkiler,,kuruma_ozel,il_mudurlugu,hayir,Üniversitelerle İşbirliği Hk.|Yükseköğretim Kurumlarıyla Yazışma|İşbirliği Talebinin Değerlendirilmesi|Protokol Taslağının Gönderilmesi|Ortak Çalışma Grubu Kurulması|Akademik Destek Talebi,
355.02,355,2,355,Eğitim Fakülteleri İle İlişkiler,15,kuruma_ozel,il_mudurlugu,hayir,Öğretmenlik Uygulaması Protokolü|Uygulama Öğrencisi Yerleştirme Talebi|Uygulama Okulunun Belirlenmesi|Uygulama Öğretmeni Görevlendirmesi|Uygulama Takviminin Bildirilmesi|Öğretmenlik Uygulaması Değerlendirme Raporu|Uygulama Kontenjanı Bildirimi,
205,205,1,,Kayıt-Kabul,B,kuruma_ozel,il_mudurlugu,evet,Okul Kayıt Başvurusu|Kayıt Alanı Dışından Kayıt Talebi|Kayıt İşlemleri Hk.|Kayıt Takviminin Duyurulması|Yaş Nedeniyle Kayıt Erteleme|Şube Oluşturma Talebi|Kayıt Belgelerinin Tamamlanması,çocuğumun kaydı adres kaydımız uygun olduğu hâlde yapılmadı|sınıf mevcudu ilan edilen sayının çok üzerinde|kayıt için mevzuatta olmayan bir belge talep edildi
210,210,1,,Nakil ve Geçişler,,kuruma_ozel,il_mudurlugu,hayir,Nakil İşlemleri Hk.|Okul Türleri Arasında Geçiş|Alan/Dal Değişikliği Talebi|Kontenjan Durumu Sorgusu|Nakil Takvimi Duyurusu|Geçiş Şartlarının Bildirilmesi,
210.01,210,2,210,Nakiller,5,kuruma_ozel,il_mudurlugu,evet,Öğrenci Nakil Talebi|Nakil Başvurusunun Değerlendirilmesi|Nakil Belgelerinin Gönderilmesi|Nakil Kontenjanı Bildirimi|Nakil Kaydının e-Okulda Güncellenmesi|Zorunlu Nakil Talebi|Nakil İptali Bildirimi,çocuğumun nakil başvurusu üç haftadır sonuçlandırılmadı|kontenjan olduğu söylendiği hâlde nakil talebim reddedildi|nakil belgelerimiz eski okuldan gönderilmedi
215,215,1,,Denklik İşleri,,kuruma_ozel,il_mudurlugu,hayir,Denklik İşlemleri Hk.|Denklik Belgesinin Gönderilmesi|Denklik Başvurusunun Değerlendirilmesi|Denklik Komisyonu Kararı|Belge Tercümesi Talebi|Seviye Tespiti Hk.,
215.01,215,2,215,Yurtdışı Eğitim Denkliği,B,kuruma_ozel,il_mudurlugu,evet,Yurtdışı Öğrenim Denklik Başvurusu|Denklik Belgesi Talebi|Denklik Kararına İtiraz|Sınıf Seviyesinin Belirlenmesi|Apostil Şerhli Belge Talebi|Denklik Dosyası Eksik Evrak Bildirimi|Geçici Kayıt Talebi,yurtdışı denklik başvurum dört aydır sonuçlanmadı|çocuğum denklik çıkmadığı için okula başlayamadı|denklik kararında sınıf seviyesi bir alt sınıf olarak belirlendi
225,225,1,,Ödül ve Disiplin İşleri,,kuruma_ozel,il_mudurlugu,hayir,Öğrenci Ödül İşlemleri|Disiplin Kurulu Kararı|Onur Belgesi Verilmesi|Ödül Yönergesi Hk.|Kurul Üyeliği Bildirimi|Karar Örneğinin Gönderilmesi,
225.02,225,2,225,Disiplin İşleri,15,kuruma_ozel,il_mudurlugu,evet,Öğrenci Disiplin Soruşturması|Disiplin Cezasına İtiraz|Disiplin Kurulu Kararının Tebliği|Soruşturmacı Görevlendirmesi|Savunma Talebi|Cezanın Sicilden Silinmesi Talebi|Disiplin Dosyasının Gönderilmesi,çocuğuma savunması alınmadan disiplin cezası verildi|disiplin kararına itirazım süresinde cevaplanmadı|olayla ilgisi olmadığı hâlde çocuğum soruşturmaya dâhil edildi
235,235,1,,Yabancı Uyruklu Öğrenciler (İlk ve Orta Öğretim),B,kuruma_ozel,il_mudurlugu,evet,Yabancı Uyruklu Öğrenci Kayıt Talebi|Öğrenim Belgesi Talebi|Yabancı Uyruklu Öğrenci Nakil İşlemi|Öğrenci Bilgi Formunun Gönderilmesi|Uyum Sınıfı Açılması Talebi|Tercüman Desteği Talebi|Kimlik Numarası Kaydı Hk.,çocuğumun kaydı kimlik numarası olmadığı gerekçesiyle yapılmadı|uyum sınıfı açılmadığı için çocuğum dersleri takip edemiyor|öğrenim belgesi talebimize cevap verilmedi
245,245,1,,Yatılılık/Bursluluk İşlemleri,,kuruma_ozel,il_mudurlugu,hayir,Yatılılık Kontenjanları|Bursluluk Komisyonu Kararı|Pansiyon İşlemleri Hk.|Pansiyon Ücreti Bildirimi|Yatılılık Başvuru Takvimi|Kontenjan Boşluğu Bildirimi,
245.04,245,2,245,Bursluluk,10,kuruma_ozel,il_mudurlugu,evet,Bursluluk Başvurusu|Burs Ödemesi Hk.|Bursluluk Sonucuna İtiraz|Bursluluk Sınavı Duyurusu|Burs Kesilmesi Hk.|Gelir Belgesi Talebi|Kontenjan Sonuçlarının Açıklanması,bursluluk sonucuna itirazım cevapsız kaldı|burs ödemem üç aydır yatmadı|gelir belgesi sunduğum hâlde başvurum değerlendirmeye alınmadı
250,250,1,,Okul ve İşletmelerde Meslekî Eğitim/Staj Çalışmaları,,kuruma_ozel,il_mudurlugu,evet,İşletmede Beceri Eğitimi Sözleşmesi|Staj Yeri Talebi|Öğrenci Sigorta İşlemleri|İşletme Değerlendirme Formu|Koordinatör Öğretmen Görevlendirmesi|Beceri Sınavı Takvimi|Sözleşme Feshi Bildirimi,işletmede beceri eğitimi ücreti dört aydır ödenmedi|staj yeri bulunamadığı için çocuğum devamsız sayıldı|işletme sözleşmeye aykırı olarak çocuğumu farklı işte çalıştırıyor
